Student ID,Course,School,Sex,Address Type,Final Grade,Result,Passed,Failed,Risk Score,Risk Band,Segment,Flagged At Risk,Prediction Outcome,Past Failures,Has Past Failure,Absences,Absence Band,Study Time,Wants Higher Education,Extra School Support,Going Out
41,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.6554,High,B - Steady middle,Yes,"False positive (flagged, passed)",1,Yes,25,More than 10,2 - 2 to 5 hours,Yes,No,3 - Medium
42,Mathematics,Gabriel Pereira,Male,Urban,12,Pass,1,0,0.4873,Elevated,D - High-risk repeaters,Yes,"False positive (flagged, passed)",0,No,8,5-10,1 - Under 2 hours,Yes,No,3 - Medium
43,Mathematics,Gabriel Pereira,Male,Urban,18,Pass,1,0,0.1995,Low,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
44,Mathematics,Gabriel Pereira,Male,Urban,11,Pass,1,0,0.3911,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),1 - Under 2 hours,Yes,Yes,1 - Very low
45,Mathematics,Gabriel Pereira,Female,Urban,9,Fail,0,1,0.5795,Elevated,B - Steady middle,Yes,True positive (correctly flagged),1,Yes,14,More than 10,2 - 2 to 5 hours,Yes,Yes,3 - Medium
46,Mathematics,Gabriel Pereira,Female,Urban,6,Fail,0,1,0.3935,Moderate,A - Supported achievers,No,"False negative (missed, failed)",0,No,8,5-10,2 - 2 to 5 hours,Yes,Yes,2 - Low
47,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.5572,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,12,More than 10,2 - 2 to 5 hours,Yes,No,5 - Very high
48,Mathematics,Gabriel Pereira,Male,Urban,20,Pass,1,0,0.1465,Low,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,4 - Over 10 hours,Yes,No,2 - Low
49,Mathematics,Gabriel Pereira,Male,Urban,14,Pass,1,0,0.2872,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
50,Mathematics,Gabriel Pereira,Female,Urban,7,Fail,0,1,0.5108,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),1,Yes,2,1-4,2 - 2 to 5 hours,Yes,Yes,4 - High
51,Mathematics,Gabriel Pereira,Female,Urban,13,Pass,1,0,0.4184,Elevated,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
52,Mathematics,Gabriel Pereira,Female,Urban,13,Pass,1,0,0.2359,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
53,Mathematics,Gabriel Pereira,Male,Urban,10,Pass,1,0,0.5434,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",1,Yes,6,5-10,1 - Under 2 hours,Yes,No,5 - Very high
54,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.6632,High,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,0,None (0),1 - Under 2 hours,Yes,Yes,4 - High
55,Mathematics,Gabriel Pereira,Female,Urban,13,Pass,1,0,0.3988,Moderate,C - Disengaged social,No,"True negative (not flagged, passed)",0,No,6,5-10,1 - Under 2 hours,Yes,No,4 - High
56,Mathematics,Gabriel Pereira,Female,Urban,10,Pass,1,0,0.4824,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,8,5-10,2 - 2 to 5 hours,Yes,No,4 - High
57,Mathematics,Gabriel Pereira,Female,Urban,15,Pass,1,0,0.3301,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,2 - Low
58,Mathematics,Gabriel Pereira,Male,Urban,15,Pass,1,0,0.3112,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,No,2 - Low
59,Mathematics,Gabriel Pereira,Male,Urban,9,Fail,0,1,0.4211,Elevated,B - Steady middle,Yes,True positive (correctly flagged),0,No,2,1-4,2 - 2 to 5 hours,Yes,Yes,2 - Low
60,Mathematics,Gabriel Pereira,Female,Urban,16,Pass,1,0,0.2808,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
61,Mathematics,Gabriel Pereira,Female,Rural,11,Pass,1,0,0.387,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,6,5-10,2 - 2 to 5 hours,Yes,No,4 - High
62,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.479,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,6,5-10,1 - Under 2 hours,Yes,Yes,5 - Very high
63,Mathematics,Gabriel Pereira,Female,Urban,9,Fail,0,1,0.4215,Elevated,B - Steady middle,Yes,True positive (correctly flagged),0,No,4,1-4,2 - 2 to 5 hours,Yes,Yes,3 - Medium
64,Mathematics,Gabriel Pereira,Female,Urban,9,Fail,0,1,0.5187,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,2,1-4,3 - 5 to 10 hours,Yes,Yes,4 - High
65,Mathematics,Gabriel Pereira,Female,Urban,10,Pass,1,0,0.349,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,Yes,4 - High
66,Mathematics,Gabriel Pereira,Female,Urban,15,Pass,1,0,0.2378,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
67,Mathematics,Gabriel Pereira,Male,Urban,12,Pass,1,0,0.3129,Moderate,C - Disengaged social,No,"True negative (not flagged, passed)",0,No,4,1-4,4 - Over 10 hours,Yes,No,3 - Medium
68,Mathematics,Gabriel Pereira,Female,Urban,6,Fail,0,1,0.4228,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,4,1-4,4 - Over 10 hours,Yes,Yes,3 - Medium
69,Mathematics,Gabriel Pereira,Female,Rural,8,Fail,0,1,0.3467,Moderate,A - Supported achievers,No,"False negative (missed, failed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,Yes,3 - Medium
70,Mathematics,Gabriel Pereira,Female,Rural,16,Pass,1,0,0.4583,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,12,More than 10,4 - Over 10 hours,Yes,No,2 - Low
71,Mathematics,Gabriel Pereira,Male,Urban,15,Pass,1,0,0.3978,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),4 - Over 10 hours,Yes,No,2 - Low
72,Mathematics,Gabriel Pereira,Male,Urban,10,Pass,1,0,0.4111,Elevated,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),4 - Over 10 hours,Yes,No,3 - Medium
73,Mathematics,Gabriel Pereira,Female,Rural,5,Fail,0,1,0.6511,High,B - Steady middle,Yes,True positive (correctly flagged),2,Yes,2,1-4,2 - 2 to 5 hours,Yes,Yes,4 - High
74,Mathematics,Gabriel Pereira,Male,Urban,14,Pass,1,0,0.3662,Moderate,B - Steady middle,No,"True negative (not flagged, passed)",0,No,2,1-4,1 - Under 2 hours,Yes,No,2 - Low
75,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.7281,High,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,54,More than 10,2 - 2 to 5 hours,Yes,Yes,3 - Medium
76,Mathematics,Gabriel Pereira,Male,Urban,10,Pass,1,0,0.3619,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,6,5-10,2 - 2 to 5 hours,Yes,No,3 - Medium
77,Mathematics,Gabriel Pereira,Male,Urban,10,Pass,1,0,0.2957,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,8,5-10,4 - Over 10 hours,Yes,No,3 - Medium
78,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.4132,Elevated,B - Steady middle,No,"True negative (not flagged, passed)",0,No,0,None (0),4 - Over 10 hours,Yes,No,3 - Medium
79,Mathematics,Gabriel Pereira,Male,Urban,10,Pass,1,0,0.6146,High,B - Steady middle,Yes,"False positive (flagged, passed)",3,Yes,2,1-4,1 - Under 2 hours,No,Yes,1 - Very low
80,Mathematics,Gabriel Pereira,Female,Urban,5,Fail,0,1,0.3047,Moderate,A - Supported achievers,No,"False negative (missed, failed)",0,No,12,More than 10,2 - 2 to 5 hours,Yes,No,3 - Medium
81,Mathematics,Gabriel Pereira,Male,Urban,12,Pass,1,0,0.5518,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,2,1-4,1 - Under 2 hours,Yes,Yes,2 - Low
82,Mathematics,Gabriel Pereira,Male,Urban,11,Pass,1,0,0.3807,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,3 - 5 to 10 hours,Yes,Yes,2 - Low
83,Mathematics,Gabriel Pereira,Female,Urban,6,Fail,0,1,0.4654,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,10,5-10,2 - 2 to 5 hours,Yes,No,4 - High
84,Mathematics,Gabriel Pereira,Male,Urban,15,Pass,1,0,0.2556,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
85,Mathematics,Gabriel Pereira,Female,Urban,10,Pass,1,0,0.4324,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,2 - Low
86,Mathematics,Gabriel Pereira,Female,Urban,8,Fail,0,1,0.5151,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),2,Yes,6,5-10,2 - 2 to 5 hours,Yes,No,4 - High
87,Mathematics,Gabriel Pereira,Female,Urban,6,Fail,0,1,0.3335,Moderate,B - Steady middle,No,"False negative (missed, failed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,No,4 - High
88,Mathematics,Gabriel Pereira,Female,Urban,14,Pass,1,0,0.207,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,3 - 5 to 10 hours,Yes,No,3 - Medium
89,Mathematics,Gabriel Pereira,Male,Urban,10,Pass,1,0,0.5472,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",1,Yes,12,More than 10,2 - 2 to 5 hours,Yes,No,2 - Low
90,Mathematics,Gabriel Pereira,Male,Urban,7,Fail,0,1,0.449,Elevated,C - Disengaged social,Yes,True positive (correctly flagged),0,No,18,More than 10,2 - 2 to 5 hours,Yes,No,3 - Medium
91,Mathematics,Gabriel Pereira,Female,Urban,8,Fail,0,1,0.5077,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,0,None (0),3 - 5 to 10 hours,Yes,No,3 - Medium
92,Mathematics,Gabriel Pereira,Female,Urban,18,Pass,1,0,0.3312,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,1 - Under 2 hours,Yes,No,5 - Very high
93,Mathematics,Gabriel Pereira,Female,Urban,6,Fail,0,1,0.4831,Elevated,B - Steady middle,Yes,True positive (correctly flagged),0,No,4,1-4,2 - 2 to 5 hours,Yes,Yes,3 - Medium
94,Mathematics,Gabriel Pereira,Female,Urban,10,Pass,1,0,0.4109,Elevated,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,3 - Medium
95,Mathematics,Gabriel Pereira,Male,Urban,14,Pass,1,0,0.3342,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,6,5-10,4 - Over 10 hours,Yes,No,4 - High
96,Mathematics,Gabriel Pereira,Female,Rural,10,Pass,1,0,0.5468,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",1,Yes,2,1-4,4 - Over 10 hours,Yes,Yes,2 - Low
97,Mathematics,Gabriel Pereira,Male,Rural,15,Pass,1,0,0.3359,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,1 - Under 2 hours,Yes,Yes,3 - Medium
98,Mathematics,Gabriel Pereira,Female,Urban,10,Pass,1,0,0.5618,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,5 - Very high
99,Mathematics,Gabriel Pereira,Female,Urban,14,Pass,1,0,0.2611,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,6,5-10,1 - Under 2 hours,Yes,No,4 - High
100,Mathematics,Gabriel Pereira,Female,Urban,8,Fail,0,1,0.5523,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,0,None (0),3 - 5 to 10 hours,Yes,Yes,5 - Very high
101,Mathematics,Gabriel Pereira,Male,Urban,5,Fail,0,1,0.6403,High,C - Disengaged social,Yes,True positive (correctly flagged),0,No,14,More than 10,1 - Under 2 hours,Yes,Yes,5 - Very high
102,Mathematics,Gabriel Pereira,Male,Urban,17,Pass,1,0,0.4533,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,0,None (0),3 - 5 to 10 hours,Yes,No,3 - Medium
103,Mathematics,Gabriel Pereira,Male,Urban,14,Pass,1,0,0.2301,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,1 - Under 2 hours,Yes,No,3 - Medium
104,Mathematics,Gabriel Pereira,Female,Urban,6,Fail,0,1,0.5851,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,26,More than 10,2 - 2 to 5 hours,Yes,Yes,5 - Very high
105,Mathematics,Gabriel Pereira,Male,Urban,18,Pass,1,0,0.3821,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,4 - High
106,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.4544,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,10,5-10,4 - Over 10 hours,Yes,Yes,3 - Medium
107,Mathematics,Gabriel Pereira,Female,Urban,8,Fail,0,1,0.5525,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,8,5-10,4 - Over 10 hours,Yes,Yes,2 - Low
108,Mathematics,Gabriel Pereira,Male,Urban,18,Pass,1,0,0.2682,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,3 - 5 to 10 hours,Yes,No,3 - Medium
109,Mathematics,Gabriel Pereira,Male,Rural,13,Pass,1,0,0.4702,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,6,5-10,4 - Over 10 hours,Yes,No,5 - Very high
110,Mathematics,Gabriel Pereira,Female,Urban,16,Pass,1,0,0.4822,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,4,1-4,3 - 5 to 10 hours,Yes,No,5 - Very high
111,Mathematics,Gabriel Pereira,Male,Urban,19,Pass,1,0,0.2629,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,6,5-10,1 - Under 2 hours,Yes,No,3 - Medium
112,Mathematics,Gabriel Pereira,Female,Rural,10,Pass,1,0,0.5019,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",1,Yes,0,None (0),3 - 5 to 10 hours,Yes,Yes,2 - Low
113,Mathematics,Gabriel Pereira,Female,Urban,13,Pass,1,0,0.5828,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",1,Yes,6,5-10,2 - 2 to 5 hours,Yes,Yes,2 - Low
114,Mathematics,Gabriel Pereira,Male,Urban,19,Pass,1,0,0.2933,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,10,5-10,1 - Under 2 hours,Yes,No,2 - Low
115,Mathematics,Gabriel Pereira,Male,Rural,9,Fail,0,1,0.4101,Elevated,B - Steady middle,No,"False negative (missed, failed)",0,No,8,5-10,2 - 2 to 5 hours,Yes,No,2 - Low
116,Mathematics,Gabriel Pereira,Male,Urban,16,Pass,1,0,0.3025,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,4 - High
117,Mathematics,Gabriel Pereira,Male,Urban,14,Pass,1,0,0.2755,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
118,Mathematics,Gabriel Pereira,Male,Urban,13,Pass,1,0,0.2655,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),1 - Under 2 hours,Yes,No,2 - Low
119,Mathematics,Gabriel Pereira,Male,Rural,8,Fail,0,1,0.6795,High,C - Disengaged social,Yes,True positive (correctly flagged),1,Yes,20,More than 10,2 - 2 to 5 hours,Yes,No,4 - High
120,Mathematics,Gabriel Pereira,Male,Urban,13,Pass,1,0,0.253,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,6,5-10,1 - Under 2 hours,Yes,No,3 - Medium
121,Mathematics,Gabriel Pereira,Female,Urban,15,Pass,1,0,0.3968,Moderate,B - Steady middle,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
122,Mathematics,Gabriel Pereira,Male,Urban,15,Pass,1,0,0.3043,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,6,5-10,4 - Over 10 hours,Yes,No,4 - High
123,Mathematics,Gabriel Pereira,Female,Urban,13,Pass,1,0,0.3327,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,2 - Low
124,Mathematics,Gabriel Pereira,Male,Urban,13,Pass,1,0,0.5745,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,18,More than 10,1 - Under 2 hours,Yes,No,4 - High
125,Mathematics,Gabriel Pereira,Female,Urban,8,Fail,0,1,0.4196,Elevated,B - Steady middle,No,"False negative (missed, failed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,4 - High
126,Mathematics,Gabriel Pereira,Male,Urban,12,Pass,1,0,0.366,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),1 - Under 2 hours,Yes,Yes,5 - Very high
127,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.4791,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,Yes,2 - Low
128,Mathematics,Gabriel Pereira,Female,Urban,9,Fail,0,1,0.6795,High,D - High-risk repeaters,Yes,True positive (correctly flagged),3,Yes,2,1-4,2 - 2 to 5 hours,No,No,2 - Low
129,Mathematics,Gabriel Pereira,Male,Rural,0,Fail,0,1,0.7562,High,B - Steady middle,Yes,True positive (correctly flagged),2,Yes,0,None (0),1 - Under 2 hours,Yes,No,3 - Medium
130,Mathematics,Gabriel Pereira,Male,Rural,18,Pass,1,0,0.5354,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,8,5-10,1 - Under 2 hours,Yes,No,5 - Very high
131,Mathematics,Gabriel Pereira,Female,Rural,0,Fail,0,1,0.6364,High,A - Supported achievers,Yes,True positive (correctly flagged),2,Yes,0,None (0),3 - 5 to 10 hours,Yes,No,2 - Low
